Employee ID,Name,Role,Department,Experience Level,Years of Experience,AutoCAD,Autodesk Inventor,OpenCascade,Three.js,Eyeshot,HOOPS,JavaScript,C#,Python,React,Node.js,ASP.NET,Unity,Unreal Engine,Revit,Navisworks,Current Project,Client,Availability Status,Next Availability Date
EMP0001,Michael Ramos,Designer,BIM,Junior,14,0,3,3,1,2,2,3,2,0,3,1,2,3,1,3,3,Reinvent E-Business Markets,Siemens,Unavailable,2025-05-28
EMP0002,Nicole Alvarez,Tester,BIM,Junior,9,3,1,2,2,2,1,3,1,3,0,2,0,3,0,2,1,Incubate Leading-Edge Eyeballs,Autodesk,Available,2025-06-22
EMP0003,Margaret Davis,Tester,BIM,Senior,16,3,3,2,2,2,2,2,1,2,0,3,1,2,2,2,2,Unleash Plug-And-Play Experiences,Roblox,Available,2025-06-24
EMP0004,Rachel Burch,Tester,Game Testing,Junior,6,3,3,2,3,0,3,3,2,3,3,2,1,0,0,1,3,Strategize Strategic Experiences,Epic Games,Unavailable,2025-07-19
EMP0005,Jennifer Smith,Tester,BIM,Mid,20,2,3,3,3,3,2,3,2,2,3,0,1,3,1,2,3,Transition Wireless Portals,Roblox,Available,2025-08-22
EMP0006,Lauren Hickman,Designer,CAD,Senior,8,3,3,3,2,1,2,0,3,3,3,2,1,3,2,3,2,Syndicate User-Centric Niches,Autodesk,Available,2025-07-19
EMP0007,Duane Brown,Developer,Game Testing,Mid,20,2,2,2,1,2,1,3,2,3,3,2,1,2,3,1,1,Cultivate Cross-Platform Functionalities,Siemens,Unavailable,2025-08-03
EMP0008,Jo Camacho,Designer,CAD,Junior,11,3,1,3,1,2,3,1,2,2,2,3,3,2,3,3,2,Incentivize Ubiquitous Markets,Autodesk,Partially Available,2025-08-04
EMP0009,Jose Cohen,Tester,Game Testing,Junior,19,2,1,3,1,2,2,2,3,3,0,1,0,2,2,2,1,Syndicate Proactive Relationships,Dassault,Available,2025-07-29
EMP0010,Benjamin Chung,Tester,BIM,Junior,16,0,0,1,3,2,3,3,0,3,3,0,2,2,3,1,3,Re-Contextualize Clicks-And-Mortar Solutions,Epic Games,Available,2025-07-05
